personid,race,gender,drivercity,driverstate,dlstate,policeid,vehicleid,age,,,,,,,,,,,,,,,,,,,,,
p2979,WHITE,F,ABINGDON,VA,VA,1140,v1920,54,,,,,,,,,,,,,,,,,,,,,
p2987,WHITE,F,ABINGDON,MD,MD,1142,v1921,35,,,,,,,,,,,,,,,,,,,,,
p2989,WHITE,M,ABINGDON,MD,MD,1148,v1922,62,,,,,,,,,,,,,,,,,,,,,
p2992,HISPANIC,M,ADELPHI,MD,MD,1128,v3020,69,,,,,,,,,,,,,,,,,,,,,
p2996,WHITE,F,ADELPHI,MD,MD,1146,v2712,44,,,,,,,,,,,,,,,,,,,,,
p3000,WHITE,M,ABINGDON,MD,MD,1128,v1923,21,,,,,,,,,,,,,,,,,,,,,
p3001,WHITE,M,ADELPHI,MD,XX,1100,v3021,23,,,,,,,,,,,,,,,,,,,,,
p3014,BLACK,F,ACCOKEEK,MD,MD,1114,v1273,48,,,,,,,,,,,,,,,,,,,,,
p3020,WHITE,F,ADELPHI,MD,MD,1124,v2713,20,,,,,,,,,,,,,,,,,,,,,
p3021,BLACK,M,ADELPHI,MD,MD,1132,v2714,63,,,,,,,,,,,,,,,,,,,,,
p3025,WHITE,F,ADELPHI,MD,MD,1136,v2715,50,,,,,,,,,,,,,,,,,,,,,
p3030,WHITE,M,ABINGDON,MD,MD,1100,v1924,31,,,,,,,,,,,,,,,,,,,,,
p3051,WHITE,M,ABINGDON,MD,MD,1104,v1925,33,,,,,,,,,,,,,,,,,,,,,
p3054,HISPANIC,M,ACCOKEEK,MD,MD,1122,v1274,39,,,,,,,,,,,,,,,,,,,,,
p3063,BLACK,F,ACCOKEEK,MD,MD,1134,v1275,69,,,,,,,,,,,,,,,,,,,,,
p3075,ASIAN,F,ABINGDON,MD,MD,1126,v1572,69,,,,,,,,,,,,,,,,,,,,,
p3076,WHITE,M,ABINGDON,MD,MD,1108,v1926,62,,,,,,,,,,,,,,,,,,,,,
p3078,BLACK,M,ACCOKEEK,MD,MD,1116,v1276,44,,,,,,,,,,,,,,,,,,,,,
p3082,WHITE,M,ABINGDON,MD,MD,1110,v1927,25,,,,,,,,,,,,,,,,,,,,,
p3085,HISPANIC,M,ADELPHI,MD,XX,1138,v2716,27,,,,,,,,,,,,,,,,,,,,,
p3098,BLACK,F,ABINGDON,MD,MD,1112,v1928,31,,,,,,,,,,,,,,,,,,,,,
p3104,BLACK,M,ACCOKEEK,MD,MD,1120,v1277,42,,,,,,,,,,,,,,,,,,,,,
p3105,WHITE,F,ADELPHI,MD,MD,1140,v2717,70,,,,,,,,,,,,,,,,,,,,,
p3106,WHITE,M,ABINGDON,MD,MD,1130,v1929,64,,,,,,,,,,,,,,,,,,,,,
p3107,WHITE,M,ABINGDON,MD,MD,1114,v1573,34,,,,,,,,,,,,,,,,,,,,,
p3113,BLACK,F,ABINGDON,MD,MD,1102,v1930,59,,,,,,,,,,,,,,,,,,,,,
p3116,WHITE,F,ABINGDON,MD,MD,1106,v1931,36,,,,,,,,,,,,,,,,,,,,,
p3118,BLACK,F,ABINGTON,MD,MD,1126,v1932,48,,,,,,,,,,,,,,,,,,,,,
p3120,BLACK,M,ABINGTON,PA,PA,1114,v1933,66,,,,,,,,,,,,,,,,,,,,,
p3135,BLACK,M,ABINGTON,PA,PA,1122,v1934,69,,,,,,,,,,,,,,,,,,,,,
p3137,HISPANIC,M,ADELPHI,MD,MD,1104,v3022,23,,,,,,,,,,,,,,,,,,,,,
p3156,BLACK,F,ACCOKEEK,MD,MD,1112,v3235,28,,,,,,,,,,,,,,,,,,,,,
p3158,WHITE,M,ADELPHI,MD,XX,1108,v3023,53,,,,,,,,,,,,,,,,,,,,,
p3163,BLACK,M,ADAMSTOWN,MD,MD,1128,v3380,30,,,,,,,,,,,,,,,,,,,,,
p3178,BLACK,M,ABINGTON,PA,PA,1134,v1935,26,,,,,,,,,,,,,,,,,,,,,
p3183,BLACK,M,ACCOKEEK,MD,MD,1118,v1278,52,,,,,,,,,,,,,,,,,,,,,
p3184,WHITE,M,ABSECON,NJ,NJ,1116,v1936,31,,,,,,,,,,,,,,,,,,,,,
p3185,HISPANIC,M,ADELPHI,MD,MD,1110,v3024,29,,,,,,,,,,,,,,,,,,,,,
p3191,WHITE,F,ADAMSTOWN,MD,MD,1100,v3381,57,,,,,,,,,,,,,,,,,,,,,
p3197,WHITE,M,ABSECON,NJ,NJ,1120,v1937,20,,,,,,,,,,,,,,,,,,,,,
p3200,WHITE,M,ADELPHI,MD,XX,1112,v3025,52,,,,,,,,,,,,,,,,,,,,,
p3206,WHITE,M,ABINGDON,MD,MD,1122,v1574,53,,,,,,,,,,,,,,,,,,,,,
p3208,BLACK,M,ACCOKEEK,MD,MD,1118,v1938,26,,,,,,,,,,,,,,,,,,,,,
p3217,BLACK,M,ACCOKEEK,MD,MD,1150,v1939,22,,,,,,,,,,,,,,,,,,,,,
p3218,BLACK,M,ACCOKEEK,MD,MD,1158,v1940,33,,,,,,,,,,,,,,,,,,,,,
p3227,BLACK,M,ACCOKEEK,MD,MD,1150,v1279,66,,,,,,,,,,,,,,,,,,,,,
p3230,BLACK,M,ACCOKEEK,MD,MD,1152,v1941,44,,,,,,,,,,,,,,,,,,,,,
p3243,WHITE,M,ABINGDON,MD,MD,1134,v1575,50,,,,,,,,,,,,,,,,,,,,,
p3251,BLACK,M,ACCOKEEK,MD,MD,1154,v1942,42,,,,,,,,,,,,,,,,,,,,,
p3252,OTHER,M,ACCOKEEK,MD,MD,1130,v3236,29,,,,,,,,,,,,,,,,,,,,,
p3260,HISPANIC,M,ADELPHI,MD,XX,1142,v2718,59,,,,,,,,,,,,,,,,,,,,,
p3263,WHITE,M,ABINGDON,MD,MD,1116,v1576,48,,,,,,,,,,,,,,,,,,,,,
p3278,WHITE,M,ABINGDON,MD,MD,1120,v1577,32,,,,,,,,,,,,,,,,,,,,,
p3297,BLACK,F,ACCOKEEK,MD,MD,1156,v1943,26,,,,,,,,,,,,,,,,,,,,,
p1115,HISPANIC,M,ADELPHI,MD,XX,1148,v2719,22,,,,,,,,,,,,,,,,,,,,,
p1127,BLACK,F,ACCOKEEK,MD,MD,1144,v1944,57,,,,,,,,,,,,,,,,,,,,,
p1132,HISPANIC,M,ADELPHI,MD,MD,1128,v2720,25,,,,,,,,,,,,,,,,,,,,,
p1135,BLACK,M,ACCOKEEK,MD,MD,1146,v1945,50,,,,,,,,,,,,,,,,,,,,,
p1136,HISPANIC,M,ADELPHI,MD,MD,1130,v3026,19,,,,,,,,,,,,,,,,,,,,,
p1137,BLACK,M,ACCOKEEK,MD,MD,1124,v1946,38,,,,,,,,,,,,,,,,,,,,,
p1164,BLACK,M,ACCOKEEK,MD,MD,1132,v1947,19,,,,,,,,,,,,,,,,,,,,,
p1169,BLACK,M,ACCOKEEK,MD,MD,1136,v1948,32,,,,,,,,,,,,,,,,,,,,,
p1170,WHITE,M,ABINGDON,MD,MD,1118,v1578,63,,,,,,,,,,,,,,,,,,,,,
p1174,HISPANIC,M,ADELPHI,MD,MD,1102,v3027,34,,,,,,,,,,,,,,,,,,,,,
p1194,WHITE,M,ABINGDON,MD,MD,1150,v1579,58,,,,,,,,,,,,,,,,,,,,,
p1218,BLACK,M,ACCOKEEK,MD,MD,1102,v3237,34,,,,,,,,,,,,,,,,,,,,,
p1219,BLACK,M,ACCOKEEK,MD,MD,1106,v3238,19,,,,,,,,,,,,,,,,,,,,,
p1229,BLACK,M,ACCOKEEK,MD,NC,1138,v1949,33,,,,,,,,,,,,,,,,,,,,,
p1252,BLACK,M,ADELPHI,MD,MD,1106,v3028,33,,,,,,,,,,,,,,,,,,,,,
p1260,HISPANIC,M,ADELPHI,MD,MD,1100,v2721,48,,,,,,,,,,,,,,,,,,,,,
p1262,BLACK,M,ACCOKEEK,MD,MD,1140,v1950,28,,,,,,,,,,,,,,,,,,,,,
p1268,BLACK,M,ACCOKEEK,MD,MD,1142,v1951,46,,,,,,,,,,,,,,,,,,,,,
p1275,BLACK,M,ACCOKEEK,MD,MD,1148,v1952,46,,,,,,,,,,,,,,,,,,,,,
p1281,BLACK,M,ACCOKEEK,MD,MD,1128,v1953,53,,,,,,,,,,,,,,,,,,,,,
p1291,HISPANIC,M,ADELPHI,MD,MD,1104,v2722,33,,,,,,,,,,,,,,,,,,,,,
p1294,WHITE,M,ABINGDON,MD,MD,1158,v1580,41,,,,,,,,,,,,,,,,,,,,,
p1306,BLACK,M,ACCOKEEK,MD,MD,1100,v1954,29,,,,,,,,,,,,,,,,,,,,,
p1312,HISPANIC,M,ADELPHI,MD,MD,1108,v2723,49,,,,,,,,,,,,,,,,,,,,,
p1319,BLACK,M,ACCOKEEK,MD,PA,1104,v1955,42,,,,,,,,,,,,,,,,,,,,,
p1320,BLACK,M,ACCOKEEK,MD,MD,1158,v1280,43,,,,,,,,,,,,,,,,,,,,,
p1322,BLACK,M,ACCOKEEK,MD,MD,1126,v3239,69,,,,,,,,,,,,,,,,,,,,,
p1324,BLACK,M,ACCOKEEK,MD,MD,1152,v1281,40,,,,,,,,,,,,,,,,,,,,,
p1340,WHITE,M,ABINGDON,MD,MD,1152,v1581,68,,,,,,,,,,,,,,,,,,,,,
p1354,BLACK,M,ACCOKEEK,MD,PA,1108,v1956,38,,,,,,,,,,,,,,,,,,,,,
p1356,WHITE,M,ABINGDON,VA,VA,1154,v1582,37,,,,,,,,,,,,,,,,,,,,,
p1379,BLACK,M,ACCOKEEK,MD,PA,1110,v1957,47,,,,,,,,,,,,,,,,,,,,,
p1388,BLACK,M,ACCOKEEK,MD,PA,1112,v1958,70,,,,,,,,,,,,,,,,,,,,,
p1405,BLACK,M,ACCOKEEK,MD,PA,1130,v1959,27,,,,,,,,,,,,,,,,,,,,,
p1411,BLACK,M,ACCOKEEK,MD,MD,1154,v1282,34,,,,,,,,,,,,,,,,,,,,,
p1415,WHITE,M,ABINGDON,MD,MD,1156,v1583,51,,,,,,,,,,,,,,,,,,,,,
p1416,BLACK,M,ACCOKEEK,MD,PA,1102,v1960,31,,,,,,,,,,,,,,,,,,,,,
p1426,BLACK,F,ADELPHI,MD,MD,1110,v2724,56,,,,,,,,,,,,,,,,,,,,,
p1428,WHITE,M,ABINGDON,MD,MD,1144,v1584,37,,,,,,,,,,,,,,,,,,,,,
p1439,BLACK,M,ACCOKEEK,MD,MD,1156,v1283,36,,,,,,,,,,,,,,,,,,,,,
p1446,BLACK,M,ACCOKEEK,MD,PA,1106,v1961,34,,,,,,,,,,,,,,,,,,,,,
p1448,BLACK,M,ACCOKEEK,MD,MD,1144,v1284,54,,,,,,,,,,,,,,,,,,,,,
p1453,HISPANIC,M,ADELPHI,MD,MD,1112,v2725,64,,,,,,,,,,,,,,,,,,,,,
p1456,BLACK,M,ACCOKEEK,MD,MD,1146,v1285,66,,,,,,,,,,,,,,,,,,,,,
p1462,WHITE,M,ABINGDON,MD,MD,1146,v1585,67,,,,,,,,,,,,,,,,,,,,,
p1480,BLACK,M,ACCOKEEK,MD,PA,1126,v1962,41,,,,,,,,,,,,,,,,,,,,,
p1503,BLACK,M,ADELPHI,MD,MD,1126,v3029,22,,,,,,,,,,,,,,,,,,,,,
p1504,BLACK,M,ACCOKEEK,MD,MD,1114,v3240,36,,,,,,,,,,,,,,,,,,,,,
p1510,BLACK,M,ACCOKEEK,MD,PA,1114,v1963,27,,,,,,,,,,,,,,,,,,,,,
p1511,BLACK,M,ACCOKEEK,MD,MD,1122,v1964,39,,,,,,,,,,,,,,,,,,,,,
p1513,BLACK,M,ACCOKEEK,MD,MD,1134,v1965,20,,,,,,,,,,,,,,,,,,,,,
p1515,HISPANIC,M,ADELPHI,MD,MD,1114,v3030,63,,,,,,,,,,,,,,,,,,,,,
p1536,BLACK,F,ADELPHI,MD,MD,1130,v2726,68,,,,,,,,,,,,,,,,,,,,,
p1542,BLACK,M,ACCOKEEK,MD,MD,1116,v1966,29,,,,,,,,,,,,,,,,,,,,,
p1557,BLACK,M,ACCOKEEK,MD,MD,1124,v1286,51,,,,,,,,,,,,,,,,,,,,,
p1561,BLACK,M,ACCOKEEK,MD,MD,1120,v1967,40,,,,,,,,,,,,,,,,,,,,,
p1562,WHITE,M,ACCOKEEK,MD,MD,1118,v1968,49,,,,,,,,,,,,,,,,,,,,,
p1572,WHITE,M,ACCOKEEK,MD,MD,1150,v1969,25,,,,,,,,,,,,,,,,,,,,,
p1573,BLACK,F,ACCOKEEK,MD,MD,1132,v1287,32,,,,,,,,,,,,,,,,,,,,,
p1583,HISPANIC,M,ADELPHI,MD,MD,1102,v2727,56,,,,,,,,,,,,,,,,,,,,,
p1587,WHITE,M,ACCOKEEK,MD,MD,1158,v1970,52,,,,,,,,,,,,,,,,,,,,,
p1594,BLACK,F,ADELPHI,MD,MD,1106,v2728,24,,,,,,,,,,,,,,,,,,,,,
p1600,WHITE,M,ABINGDON,MD,MD,1124,v1586,47,,,,,,,,,,,,,,,,,,,,,
p1606,BLACK,F,ACCOKEEK,MD,MD,1152,v1971,51,,,,,,,,,,,,,,,,,,,,,
p1609,BLACK,F,ACCOKEEK,MD,MD,1154,v1972,22,,,,,,,,,,,,,,,,,,,,,
p1610,WHITE,M,ADELPHI,MD,MD,1122,v3031,62,,,,,,,,,,,,,,,,,,,,,
p1612,WHITE,F,ADAMSTOWN,MD,MD,1104,v3382,58,,,,,,,,,,,,,,,,,,,,,
p1616,BLACK,M,ACCOKEEK,MD,MD,1122,v3241,44,,,,,,,,,,,,,,,,,,,,,
p1618,WHITE,M,ADELPHI,MD,MD,1134,v3032,18,,,,,,,,,,,,,,,,,,,,,
p1627,BLACK,F,ACCOKEEK,MD,MD,1156,v1973,32,,,,,,,,,,,,,,,,,,,,,
p1630,BLACK,F,ACCOKEEK,MD,MD,1136,v1288,52,,,,,,,,,,,,,,,,,,,,,
p1633,BLACK,F,ACCOKEEK,MD,MD,1144,v1974,52,,,,,,,,,,,,,,,,,,,,,
p1645,BLACK,M,ACCOKEEK,MD,MD,1146,v1975,20,,,,,,,,,,,,,,,,,,,,,
p1661,BLACK,M,ACCOKEEK,MD,MD,1124,v1976,37,,,,,,,,,,,,,,,,,,,,,
p1663,BLACK,M,ACCOKEEK,MD,MD,1132,v1977,67,,,,,,,,,,,,,,,,,,,,,
p1665,BLACK,M,ACCOKEEK,MD,MD,1136,v1978,65,,,,,,,,,,,,,,,,,,,,,
p1675,BLACK,F,ACCOKEEK,MD,MD,1138,v1979,46,,,,,,,,,,,,,,,,,,,,,
p1679,BLACK,F,ACCOKEEK,MD,MD,1138,v1289,26,,,,,,,,,,,,,,,,,,,,,
p1686,BLACK,F,ACCOKEEK,MD,MD,1140,v1980,64,,,,,,,,,,,,,,,,,,,,,
p1689,BLACK,F,ACCOKEEK,MD,MD,1142,v1981,39,,,,,,,,,,,,,,,,,,,,,
p1690,WHITE,M,ADELPHI,MD,MD,1116,v3033,33,,,,,,,,,,,,,,,,,,,,,
p1697,WHITE,M,ADELPHI,MD,MD,1120,v3034,63,,,,,,,,,,,,,,,,,,,,,
p1706,HISPANIC,M,ADELPHI,MD,MD,1118,v3035,18,,,,,,,,,,,,,,,,,,,,,
p1712,BLACK,F,ADELPHI,MD,MD,1126,v2729,46,,,,,,,,,,,,,,,,,,,,,
p1722,BLACK,M,ACCOKEEK,MD,MD,1140,v1290,57,,,,,,,,,,,,,,,,,,,,,
p1723,WHITE,M,ABINGDON,MD,MD,1132,v1587,30,,,,,,,,,,,,,,,,,,,,,
p1724,WHITE,F,ABINGDON,MD,MD,1136,v1588,21,,,,,,,,,,,,,,,,,,,,,
p1730,BLACK,F,ACCOKEEK,MD,MD,1148,v1982,28,,,,,,,,,,,,,,,,,,,,,
p1731,BLACK,M,ACCOKEEK,MD,MD,1128,v1983,24,,,,,,,,,,,,,,,,,,,,,
p1732,HISPANIC,M,ADELPHI,MD,MD,1114,v2730,25,,,,,,,,,,,,,,,,,,,,,
p1737,BLACK,F,ADELPHI,MD,MD,1122,v2731,37,,,,,,,,,,,,,,,,,,,,,
p1738,WHITE,F,ACCOKEEK,MD,MD,1142,v1291,20,,,,,,,,,,,,,,,,,,,,,
p1753,WHITE,M,ABINGDON,MD,MD,1138,v1589,49,,,,,,,,,,,,,,,,,,,,,
p1758,WHITE,F,ABINGDON,MD,MD,1140,v1590,35,,,,,,,,,,,,,,,,,,,,,
p1769,HISPANIC,M,ADELPHI,MD,MD,1150,v3036,55,,,,,,,,,,,,,,,,,,,,,
p1772,WHITE,M,ABINGDON,MD,MD,1142,v1591,38,,,,,,,,,,,,,,,,,,,,,
p1774,BLACK,M,ACCOKEEK,MD,MD,1100,v1984,26,,,,,,,,,,,,,,,,,,,,,
p1775,WHITE,M,ABINGDON,MD,MD,1148,v1592,33,,,,,,,,,,,,,,,,,,,,,
p1781,BLACK,M,ACCOKEEK,MD,MD,1134,v3242,24,,,,,,,,,,,,,,,,,,,,,
p1783,WHITE,M,ADELPHI,MD,MD,1134,v2732,27,,,,,,,,,,,,,,,,,,,,,
p1800,BLACK,M,ACCOKEEK,MD,MD,1104,v1985,47,,,,,,,,,,,,,,,,,,,,,
p1809,BLACK,F,ACCOKEEK,MD,MD,1108,v1986,30,,,,,,,,,,,,,,,,,,,,,
p1835,BLACK,F,ACCOKEEK,MD,MD,1110,v1987,46,,,,,,,,,,,,,,,,,,,,,
p1875,HISPANIC,M,ADELPHI,MD,MD,1158,v3037,67,,,,,,,,,,,,,,,,,,,,,
p1880,BLACK,M,ACCOKEEK,MD,MD,1112,v1988,46,,,,,,,,,,,,,,,,,,,,,
p1881,BLACK,M,ACCOKEEK,MD,MD,1130,v1989,30,,,,,,,,,,,,,,,,,,,,,
p1882,HISPANIC,M,ADELPHI,MD,MD,1152,v3038,61,,,,,,,,,,,,,,,,,,,,,
p1884,BLACK,M,ACCOKEEK,MD,MD,1148,v1292,29,,,,,,,,,,,,,,,,,,,,,
p1894,BLACK,M,ACCOKEEK,MD,MD,1102,v1990,28,,,,,,,,,,,,,,,,,,,,,
p1913,BLACK,M,ACOCEEK,MD,MD,1128,v1293,30,,,,,,,,,,,,,,,,,,,,,
p1919,BLACK,M,ACCOKEEK,MD,MD,1106,v1991,21,,,,,,,,,,,,,,,,,,,,,
p1922,BLACK,F,ADELPHI,MD,MD,1116,v2733,59,,,,,,,,,,,,,,,,,,,,,
p1932,BLACK,M,ACCOKEEK,MD,MD,1126,v1992,33,,,,,,,,,,,,,,,,,,,,,
p1936,BLACK,M,ACCOKEEK,MD,MD,1116,v3243,28,,,,,,,,,,,,,,,,,,,,,
p1945,WHITE,F,ACWORTH,GA,GA,1100,v1294,62,,,,,,,,,,,,,,,,,,,,,
p1956,BLACK,M,ACCOKEEK,MD,MD,1114,v1993,67,,,,,,,,,,,,,,,,,,,,,
p1958,BLACK,M,ACCOKEEK,MD,MD,1122,v1994,62,,,,,,,,,,,,,,,,,,,,,
p1983,HISPANIC,M,ADELPHI,MD,MD,1154,v3039,46,,,,,,,,,,,,,,,,,,,,,
p1989,WHITE,M,ABINGDON,MD,MD,1128,v1593,38,,,,,,,,,,,,,,,,,,,,,
p1998,BLACK,M,ACCOKEEK,MD,MD,1134,v1995,63,,,,,,,,,,,,,,,,,,,,,
p2005,BLACK,M,ACCOKEEK,MD,MD,1116,v1996,45,,,,,,,,,,,,,,,,,,,,,
p2014,HISPANIC,M,ADELPHI,MD,MD,1156,v3040,36,,,,,,,,,,,,,,,,,,,,,
p2015,BLACK,M,ACCOKEEK,MD,MD,1120,v1997,19,,,,,,,,,,,,,,,,,,,,,
p2016,BLACK,M,ACCOKEEK,MD,MD,1120,v3244,42,,,,,,,,,,,,,,,,,,,,,
p2030,WHITE,M,ABINGDON,MD,MD,1100,v1594,69,,,,,,,,,,,,,,,,,,,,,
p2038,HISPANIC,M,ADELPHI,MD,MD,1144,v3041,19,,,,,,,,,,,,,,,,,,,,,
p2044,BLACK,M,ACCOKEEK,MD,MD,1118,v1998,59,,,,,,,,,,,,,,,,,,,,,
p2053,WHITE,F,ACWORTH,GA,GA,1104,v1295,46,,,,,,,,,,,,,,,,,,,,,
p2057,BLACK,F,ACCOKEEK,MD,MD,1150,v1999,60,,,,,,,,,,,,,,,,,,,,,
p2066,BLACK,M,ACCOKEEK,MD,MD,1118,v3245,41,,,,,,,,,,,,,,,,,,,,,
p2071,BLACK,M,ACCOKEEK,MD,MD,1150,v3246,21,,,,,,,,,,,,,,,,,,,,,
p2079,HISPANIC,M,ADELPHI,MD,MD,1120,v2734,67,,,,,,,,,,,,,,,,,,,,,
p2085,BLACK,F,ACCOKEEK,MD,MD,1158,v2000,66,,,,,,,,,,,,,,,,,,,,,
p2099,BLACK,M,ACCOKEEK,MD,MD,1152,v2001,46,,,,,,,,,,,,,,,,,,,,,
p2100,BLACK,F,ADELPHI,MD,MD,1118,v2735,51,,,,,,,,,,,,,,,,,,,,,
p2101,WHITE,F,ACWORTH,GA,GA,1108,v1296,20,,,,,,,,,,,,,,,,,,,,,
p2102,HISPANIC,M,ADELPHI,MD,MD,1150,v2736,55,,,,,,,,,,,,,,,,,,,,,
p2112,BLACK,M,ADELPHI,MD,MD,1146,v3042,24,,,,,,,,,,,,,,,,,,,,,
p2135,BLACK,M,ACCOKEEK,MD,MD,1154,v2002,58,,,,,,,,,,,,,,,,,,,,,
p2141,WHITE,M,ABINGDON,MD,MD,1104,v1595,25,,,,,,,,,,,,,,,,,,,,,
p2143,WHITE,M,ADAMSTOWN,MD,MD,1108,v3383,70,,,,,,,,,,,,,,,,,,,,,
p2153,WHITE,F,ADAMSTOWN,MD,MD,1110,v3384,64,,,,,,,,,,,,,,,,,,,,,
p2185,BLACK,M,ADELPHI,MD,MD,1124,v3043,39,,,,,,,,,,,,,,,,,,,,,
p2190,BLACK,M,ACCOKEEK,MD,MD,1108,v1596,67,,,,,,,,,,,,,,,,,,,,,
p2200,BLACK,M,ACCOKEEK,MD,MD,1110,v1597,55,,,,,,,,,,,,,,,,,,,,,
p2205,BLACK,M,ADELPHI,MD,MD,1132,v3044,56,,,,,,,,,,,,,,,,,,,,,
p2209,WHITE,M,ADAMSTOWN,MD,MD,1110,v1297,52,,,,,,,,,,,,,,,,,,,,,
p2213,BLACK,M,ACCOKEEK,MD,MD,1156,v2003,46,,,,,,,,,,,,,,,,,,,,,
p2218,BLACK,M,ACCOKEEK,MD,MD,1144,v2004,30,,,,,,,,,,,,,,,,,,,,,
p2221,WHITE,M,ADAMSTOWN,MD,MD,1112,v1298,24,,,,,,,,,,,,,,,,,,,,,
p2222,WHITE,M,ADAMSTOWN,MD,MD,1112,v3385,35,,,,,,,,,,,,,,,,,,,,,
p2229,WHITE,F,ADAMSTOWN,MD,MD,1130,v3386,46,,,,,,,,,,,,,,,,,,,,,
p2240,BLACK,M,ACCOKEEK,MD,MD,1146,v2005,26,,,,,,,,,,,,,,,,,,,,,
p2260,BLACK,M,ACCOKEEK,MD,MD,1124,v2006,47,,,,,,,,,,,,,,,,,,,,,
p2269,OTHER,F,ACCOKEEK,MD,MD,1112,v1598,19,,,,,,,,,,,,,,,,,,,,,
p2289,OTHER,F,ACCOKEEK,MD,MD,1130,v1599,50,,,,,,,,,,,,,,,,,,,,,
p2293,WHITE,M,ADAMSTOWN,MD,MD,1130,v1299,18,,,,,,,,,,,,,,,,,,,,,
p2295,BLACK,M,ACCOKEEK,MD,MD,1132,v2007,44,,,,,,,,,,,,,,,,,,,,,
p2296,BLACK,M,ACCOKEEK,MD,MD,1158,v3247,44,,,,,,,,,,,,,,,,,,,,,
p2297,BLACK,F,ACCOKEEK,MD,MD,1136,v2008,42,,,,,,,,,,,,,,,,,,,,,
p2304,BLACK,F,ACCOKEEK,MD,MD,1138,v2009,56,,,,,,,,,,,,,,,,,,,,,
p2312,OTHER,M,ACCOKEEK,MD,MD,1140,v2010,68,,,,,,,,,,,,,,,,,,,,,
p2350,BLACK,M,ADELPHI,MD,MD,1136,v3045,54,,,,,,,,,,,,,,,,,,,,,
p2351,BLACK,M,ACCOKEEK,MD,MD,1152,v3248,48,,,,,,,,,,,,,,,,,,,,,
p2352,BLACK,F,ACCOKEEK,MD,MD,1142,v2011,30,,,,,,,,,,,,,,,,,,,,,
p2358,WHITE,F,ACCOKEEK,MD,MD,1102,v1600,45,,,,,,,,,,,,,,,,,,,,,
p2362,WHITE,M,ADELPHI,MD,MD,1138,v3046,42,,,,,,,,,,,,,,,,,,,,,
p2365,BLACK,F,ACCOKEEK,MD,MD,1148,v2012,59,,,,,,,,,,,,,,,,,,,,,
p2367,WHITE,M,ADAMSTOWN,MD,MD,1102,v1300,30,,,,,,,,,,,,,,,,,,,,,
p2368,WHITE,F,ACCOKEEK,MD,MD,1106,v1601,53,,,,,,,,,,,,,,,,,,,,,
p2370,WHITE,M,ADAMSTOWN,MD,MD,1106,v1301,39,,,,,,,,,,,,,,,,,,,,,
p2373,BLACK,F,ACCOKEEK,MD,MD,1128,v2013,61,,,,,,,,,,,,,,,,,,,,,
p2387,BLACK,M,ADELPHI,MD,MD,1140,v3047,70,,,,,,,,,,,,,,,,,,,,,
p2389,HISPANIC,M,ADAMSTOWN,MD,MD,1126,v1302,43,,,,,,,,,,,,,,,,,,,,,
p2398,BLACK,M,ACCOKEEK,MD,MD,1154,v3249,19,,,,,,,,,,,,,,,,,,,,,
p2403,HISPANIC,M,ADELPHI,MD,MD,1142,v3048,46,,,,,,,,,,,,,,,,,,,,,
p2419,WHITE,F,ACCOKEEK,MD,MD,1126,v1602,46,,,,,,,,,,,,,,,,,,,,,
p2438,BLACK,M,ADELPHI,MD,MD,1158,v2737,25,,,,,,,,,,,,,,,,,,,,,
p2440,BLACK,M,ACCOKEEK,MD,MD,1100,v2014,32,,,,,,,,,,,,,,,,,,,,,
p2441,HISPANIC,F,ADAMSTOWN,MD,MD,1114,v1303,22,,,,,,,,,,,,,,,,,,,,,
p2448,BLACK,F,ACCOKEEK,MD,MD,1104,v2015,55,,,,,,,,,,,,,,,,,,,,,
p2456,HISPANIC,F,ADAMSTOWN,MD,MD,1122,v1304,55,,,,,,,,,,,,,,,,,,,,,
p2472,BLACK,M,ACCOKEEK,MD,MD,1114,v1603,18,,,,,,,,,,,,,,,,,,,,,
p2473,BLACK,M,ACCOKEEK,MD,MD,1156,v3250,39,,,,,,,,,,,,,,,,,,,,,
p2490,WHITE,F,ACCOKEEK,MD,MD,1108,v2016,18,,,,,,,,,,,,,,,,,,,,,
p2493,BLACK,M,ACCOKEEK,MD,MD,1144,v3251,69,,,,,,,,,,,,,,,,,,,,,
p2505,BLACK,M,ADAMSTOWN,MD,MD,1134,v1305,20,,,,,,,,,,,,,,,,,,,,,
p2525,BLACK,M,ACCOKEEK,MD,MD,1110,v2017,21,,,,,,,,,,,,,,,,,,,,,
p2529,BLACK,M,ACCOKEEK,MD,MD,1122,v1604,39,,,,,,,,,,,,,,,,,,,,,
p2533,BLACK,M,ADAMSTOWN,MD,MD,1116,v1306,18,,,,,,,,,,,,,,,,,,,,,
p2534,BLACK,M,ACCOKEEK,MD,MD,1146,v3252,46,,,,,,,,,,,,,,,,,,,,,
p2542,BLACK,F,ACCOKEEK,MD,MD,1134,v1605,33,,,,,,,,,,,,,,,,,,,,,
p2544,BLACK,F,ACCOKEEK,MD,MD,1116,v1606,35,,,,,,,,,,,,,,,,,,,,,
p2549,BLACK,M,ADAMSTOWN,MD,MD,1120,v1307,66,,,,,,,,,,,,,,,,,,,,,
p2565,WHITE,F,ACCOKEEK,MD,MD,1120,v1607,26,,,,,,,,,,,,,,,,,,,,,
p2570,HISPANIC,M,ADELPHI,MD,MD,1152,v2738,51,,,,,,,,,,,,,,,,,,,,,
p2577,HISPANIC,M,ADELPHI,MD,MD,1154,v2739,37,,,,,,,,,,,,,,,,,,,,,
