vehicleid,vehicletype,year,make,model,color,personid
v1632,02 - Automobile,1999,INFINITI,4S,WHITE,p1738
v1633,02 - Automobile,1999,INFINITI,4S,WHITE,p1753
v1634,02 - Automobile,1999,INFINITI,4S,WHITE,p1758
v1635,02 - Automobile,1999,INFINITI,4S,WHITE,p1769
v1636,02 - Automobile,2004,LINCOLN,TOWNCAR,TAN,p1772
v1637,02 - Automobile,2004,LINCOLN,TOWNCAR,TAN,p1774
v1638,02 - Automobile,2004,LINCOLN,TOWNCAR,TAN,p1775
v1639,28 - Other,2007,CHEVY,VAN,WHITE,p1781
v1640,02 - Automobile,1991,BUIC,4S,GRAY,p1783
v1641,02 - Automobile,1993,HOND,CIVIC,BLUE,p1800
v1642,02 - Automobile,2000,LINC,NAVIGATOR,BEIGE,p1809
v1643,02 - Automobile,2014,JEEP,COMPASS,WHITE,p1835
v1644,02 - Automobile,2014,JEEP,COMPASS,WHITE,p1875
v1645,02 - Automobile,2014,JEEP,COMPASS,WHITE,p1880
v1646,02 - Automobile,2014,JEEP,COMPASS,WHITE,p1881
v1647,05 - Light Duty Truck,2004,GMC,BOX TK,WHITE,p1882
v1648,05 - Light Duty Truck,2012,NISSAN,VAN,WHITE,p1884
v1649,05 - Light Duty Truck,2012,NISSAN,VAN,WHITE,p1894
v1650,02 - Automobile,1998,INFI,Q45T,BLACK,p1913
v1651,02 - Automobile,1998,INFI,Q45T,BLACK,p1919
v1652,02 - Automobile,1998,INFI,Q45T,BLACK,p1922
v1653,02 - Automobile,1999,TOYOTA,RAV4,SILVER,p1932
v1654,02 - Automobile,2009,NISSAN,MAXIMA,RED,p1936
v1655,02 - Automobile,2009,NISSAN,MAXIMA,RED,p1945
v1656,02 - Automobile,2014,KIA,4S,WHITE,p1956
v1657,02 - Automobile,2012,FORD,FOCUS,"BLUE, DARK",p1958
v1658,02 - Automobile,2010,CHEVROLET,IMPALA,WHITE,p1983
v1659,02 - Automobile,1999,INFINITI,Q30,WHITE,p1989
v1660,02 - Automobile,1999,INFINITI,Q30,WHITE,p1998
v1661,02 - Automobile,1999,INFINITI,Q30,WHITE,p2005
v1662,03 - Station Wagon,1999,VILV,SW,SILVER,p2014
v1663,02 - Automobile,1998,SATU,4S,WHITE,p2015
v1664,05 - Light Duty Truck,2014,TOYOTA,HIGHLANDER,BLACK,p2016
v1665,02 - Automobile,2006,CHRY,TOWN AND COUNTR,SILVER,p2030
v1666,02 - Automobile,2006,CHRY,TOWN AND COUNTR,SILVER,p2038
v1667,02 - Automobile,2006,CHRY,TOWN AND COUNTR,SILVER,p2044
v1668,02 - Automobile,2006,CHRY,TOWN AND COUNTR,SILVER,p2053
v1669,02 - Automobile,2006,CHRY,TOWN AND COUNTR,SILVER,p2057
v1670,02 - Automobile,2006,CHRY,TOWN AND COUNTR,SILVER,p2066
v1671,02 - Automobile,2006,CHRY,TOWN AND COUNTR,SILVER,p2071
v1672,02 - Automobile,2006,CHRY,TOWN AND COUNTR,SILVER,p2079
v1673,02 - Automobile,2006,CHRY,TOWN AND COUNTR,SILVER,p2085
v1674,02 - Automobile,2006,CHRY,TOWN AND COUNTR,SILVER,p2099
v1675,02 - Automobile,2001,CHEVROLET,CAVALIER,BLACK,p2100
v1676,05 - Light Duty Truck,2003,NISSAN,PATHFINDER,GOLD,p2101
v1677,02 - Automobile,1999,INFI,Q30 4D,WHITE,p2102
v1678,02 - Automobile,1999,INFI,Q30 4D,WHITE,p2112
v1679,02 - Automobile,1999,INFI,Q30 4D,WHITE,p2135
v1680,02 - Automobile,2013,HYUNDAI,VELOSTAR,RED,p2141
v1681,02 - Automobile,2009,TOYT,HIGHLANDER,SILVER,p2143
v1682,03 - Station Wagon,2003,TOYOTA,RAV 4,WHITE,p2153
v1683,05 - Light Duty Truck,2006,FORD,E250,WHITE,p2185
v1684,05 - Light Duty Truck,2006,FORD,E250,WHITE,p2190
v1685,05 - Light Duty Truck,2006,FORD,E250,WHITE,p2200
v1686,05 - Light Duty Truck,2008,GMC,PICKUP TRCK,BLACK,p2205
v1687,02 - Automobile,2013,HONDA,CROSSTOUR,BLACK,p2209
v1688,28 - Other,2012,DODGE,VAN,WHITE,p2213
v1689,28 - Other,2012,DODGE,VAN,WHITE,p2218
v1690,02 - Automobile,2014,CHRYSLER,300,BLACK,p2221
v1691,02 - Automobile,2014,CHRYSLER,300,BLACK,p2222
v1692,02 - Automobile,2012,CHEVROLET,MALIBU,GRAY,p2229
v1693,02 - Automobile,2002,HYUNDAI,SONATA,SILVER,p2240
v1694,02 - Automobile,2013,NISS,4D,RED,p2260
v1695,02 - Automobile,1999,INFI,Q30,WHITE,p2269
v1696,02 - Automobile,1999,INFI,Q30,WHITE,p2289
v1697,02 - Automobile,1997,FORD,F150,GREEN,p2293
v1698,02 - Automobile,1997,FORD,F150,GREEN,p2295
v1699,02 - Automobile,1997,FORD,F150,GREEN,p2296
v1700,02 - Automobile,1997,FORD,F150,GREEN,p2297
v1701,05 - Light Duty Truck,1998,FREI,TK,WHITE,p2304
v1702,05 - Light Duty Truck,1998,FREI,TK,WHITE,p2312
v1703,05 - Light Duty Truck,1998,FREI,TK,WHITE,p2350
v1704,05 - Light Duty Truck,1998,FREI,TK,WHITE,p2351
v1705,05 - Light Duty Truck,1998,FREI,TK,WHITE,p2352
v1706,05 - Light Duty Truck,1998,FREI,TK,WHITE,p2358
v1707,02 - Automobile,2000,HYUN,ELANTRA,SILVER,p2362
v1708,02 - Automobile,2000,HYUN,ELANTRA,SILVER,p2365
v1709,02 - Automobile,2000,HYUN,ELANTRA,SILVER,p2367
v1710,05 - Light Duty Truck,2002,CADILLAC,ESCALADE,RED,p2368
v1711,02 - Automobile,2004,VOLKSWAGEN,PASSAT,"BLUE, LIGHT",p2370
v1712,02 - Automobile,2004,VOLKSWAGEN,PASSAT,"BLUE, LIGHT",p2373
v1713,02 - Automobile,2004,VOLKSWAGEN,PASSAT,"BLUE, LIGHT",p2387
v1714,02 - Automobile,2012,NISS,MAXIMA,BLUE,p2389
v1715,02 - Automobile,2015,NISS,SENTRA,RED,p2398
v1716,02 - Automobile,2015,NISS,SENTRA,RED,p2403
v1717,02 - Automobile,2015,NISS,SENTRA,RED,p2419
v1718,02 - Automobile,2015,NISS,SENTRA,RED,p2438
v1719,02 - Automobile,2010,CHRY,4S,SILVER,p2440
v1720,02 - Automobile,2003,TOYT,4S,SILVER,p2441
v1721,02 - Automobile,2006,NISSAN,ALTIMA,GRAY,p2448
v1722,02 - Automobile,2015,HONDA,ACCORD,WHITE,p2456
v1723,02 - Automobile,2012,KIA,SORENTO,SILVER,p2472
v1724,02 - Automobile,2004,VW,PASSAT,SILVER,p2473
v1725,02 - Automobile,2011,MERCEDES,E350,BLACK,p2490
v1726,02 - Automobile,2012,NISS,MAXIMA,BLUE,p2493
v1727,02 - Automobile,1997,FORD,F150,GREEN,p2505
v1728,02 - Automobile,1997,FORD,F150,GREEN,p2525
v1729,02 - Automobile,2006,NISSAN,ALTIMA,GRAY,p2529
v1730,02 - Automobile,2000,HYUN,ELANTRA,SILVER,p2533
v1731,02 - Automobile,2003,MERZ BENZ,S600 4S,BLACK,p2534
v1732,05 - Light Duty Truck,2005,GMC,TK,BLACK,p2542
v1733,02 - Automobile,2011,RANGE ROVER,SPORT,WHITE,p2544
v1734,02 - Automobile,1997,LEXUS,SC300,RED,p2549
v1735,02 - Automobile,1997,LEXUS,SC300,RED,p2565
v1736,02 - Automobile,1997,LEXUS,SC300,RED,p2570
v1737,02 - Automobile,2002,LEXU,2S,SILVER,p2577
v1738,02 - Automobile,2010,BUICK,LACROSSE,GRAY,p2583
v1739,02 - Automobile,1998,SATURN,4DR,BEIGE,p2584
v1740,02 - Automobile,1998,SATURN,4DR,BEIGE,p2590
v1741,02 - Automobile,1998,SATURN,4DR,BEIGE,p2591
v1742,02 - Automobile,1998,SATURN,4DR,BEIGE,p2603
v1743,02 - Automobile,1998,SATURN,4DR,BEIGE,p2605
v1744,02 - Automobile,1998,SATURN,4DR,BEIGE,p2621
v1745,02 - Automobile,1998,SATURN,4DR,BEIGE,p2629
v1746,05 - Light Duty Truck,2002,GMC,VN,SILVER,p2630
v1747,05 - Light Duty Truck,2002,DODG,TK,GRAY,p2636
v1748,05 - Light Duty Truck,2008,JEEP,TK,MAROON,p2643
v1749,28 - Other,2011,BMW,SUV X6,N/A,p2646
v1750,28 - Other,2011,BMW,SUV X6,N/A,p2652
v1751,28 - Other,2007,CHEVY,VAN,WHITE,p2673
v1752,28 - Other,2007,CHEVY,VAN,WHITE,p2705
v1753,28 - Other,2007,CHEVY,VAN,WHITE,p2709
v1754,28 - Other,2007,CHEVY,VAN,WHITE,p2711
v1755,28 - Other,2007,CHEVY,VAN,WHITE,p2713
v1756,28 - Other,2007,CHEVY,VAN,WHITE,p2717
v1757,28 - Other,2007,CHEVY,VAN,WHITE,p2719
v1758,28 - Other,2007,CHEVY,VAN,WHITE,p2720
v1759,02 - Automobile,2013,HYUNDAI,VELOUSIA,RED,p2722
v1760,02 - Automobile,2011,TOYOTA,4S,GRAY,p2731
v1761,02 - Automobile,2009,NISSAN,MAXIMA,RED,p2743
v1762,02 - Automobile,2013,LEXUS,GS350,SILVER,p2744
v1763,02 - Automobile,2009,KIA,4 DOOR,ORANGE,p2749
v1764,28 - Other,2006,CHEVY,VAN,WHITE,p2760
v1765,02 - Automobile,2012,DODGE,AVENGER,BLUE,p2763
v1766,05 - Light Duty Truck,2008,TOYOTA,TK,WHITE,p2765
v1767,05 - Light Duty Truck,2008,TOYOTA,TK,WHITE,p2766
v1768,05 - Light Duty Truck,2011,CHEVROLET,COLORADO,SILVER,p2768
v1769,02 - Automobile,2014,VOLK,JETTA,BROWN,p2770
v1770,02 - Automobile,2013,DODGE,2 DOOR,BLACK,p2771
v1771,02 - Automobile,1998,TOYT,CORROLA,BLACK,p2781
v1772,02 - Automobile,2006,NISS,4S,SILVER,p2785
v1773,02 - Automobile,1998,SATU,4S,WHITE,p2790
v1774,07 - Truck/Road Tractor,2009,KENWORTH,TK,TAN,p2798
v1775,02 - Automobile,2005,NISS,ALTIMA 4S,GRAY,p2807
v1776,02 - Automobile,2007,HONDA,CVR,GRAY,p2820
v1777,05 - Light Duty Truck,2008,GMC,PICKUP TRCK,BLACK,p2822
v1778,02 - Automobile,2010,FORD,FOCUS,BLACK,p2825
v1779,05 - Light Duty Truck,2001,FORD,UTILITYMASTER,WHITE,p2829
v1780,05 - Light Duty Truck,1998,FREIGHTLINER,DELIVERY,WHITE,p2837
v1781,02 - Automobile,1999,LEXUS,GS300,BLUE,p2844
v1782,02 - Automobile,2011,FORD,FOCUS,WHITE,p2848
v1783,02 - Automobile,2013,HYUNDAI,VELOUSIA,RED,p2849
v1784,02 - Automobile,2012,FORD,FOCUS,"BLUE, DARK",p2870
v1785,02 - Automobile,2012,FORD,FOCUS,"BLUE, DARK",p2876
v1786,02 - Automobile,2012,FORD,FOCUS,"BLUE, DARK",p2882
v1787,28 - Other,2005,FREI,20,WHITE,p2890
v1788,05 - Light Duty Truck,2004,GMC,BOX TK,WHITE,p2892
v1789,05 - Light Duty Truck,2004,GMC,BOX TK,WHITE,p2895
v1790,05 - Light Duty Truck,2004,GMC,BOX TK,WHITE,p2899
v1791,05 - Light Duty Truck,2004,GMC,BOX TK,WHITE,p2909
v1792,05 - Light Duty Truck,2004,GMC,BOX TK,WHITE,p2914
v1793,05 - Light Duty Truck,2004,GMC,BOX TK,WHITE,p2923
v1794,02 - Automobile,2011,TOYOTA,COROLLA,SILVER,p2925
v1795,02 - Automobile,2008,TOYOTA,SIENNA,WHITE,p2927
v1796,02 - Automobile,2010,CHEVROLET,IMPALA,WHITE,p2962
v1797,02 - Automobile,1996,JEEP,CHEROKEE,GREEN,p2966
v1798,02 - Automobile,1996,CHEVY,S10,GREEN,p2980
v1799,02 - Automobile,2000,VOLKSWAGEN,JETTA,BLACK,p2983
v1800,02 - Automobile,2013,TOYOTA,COROLLA,WHITE,p2993
v1801,02 - Automobile,1999,JEEP,CHEREOKEE,BLACK,p2994
v1802,02 - Automobile,2013,HONDA,CROSSTOUR,BLACK,p2997
v1803,02 - Automobile,2013,HONDA,CROSSTOUR,BLACK,p3003
v1804,02 - Automobile,2013,HONDA,CROSSTOUR,BLACK,p3010
v1805,02 - Automobile,2005,AUDI,A6,BLACK,p3012
v1806,02 - Automobile,2008,DODG,TK,SILVER,p3031
v1807,02 - Automobile,2006,BMW,BMW,WHITE,p3032
v1808,02 - Automobile,2013,FORD,TK,BLUE,p3035
v1809,02 - Automobile,2014,MITSUBISHI,OUTLANDER,WHITE,p3036
v1810,02 - Automobile,2012,FORD,FOCUS,RED,p3045
v1811,02 - Automobile,2006,DODG,4S,SILVER,p3052
v1812,05 - Light Duty Truck,2008,JEEP,TK,MAROON,p3064
v1813,02 - Automobile,2014,NISS,VERSA,BLUE,p3067
v1814,02 - Automobile,1995,PLYMOUTH,NEON,RED,p3077
v1815,02 - Automobile,1995,PLYMOUTH,NEON,RED,p3079
v1816,02 - Automobile,1999,CHRY,4S,WHITE,p3083
v1817,02 - Automobile,2013,HYUNDAI,VELOSTAR,RED,p3093
v1818,02 - Automobile,2004,AUDI,4S,BLACK,p3109
v1819,02 - Automobile,2008,PONTIAC,GT,BLUE,p3115
v1820,02 - Automobile,2008,PONTIAC,GT,BLUE,p3134
v1821,02 - Automobile,1996,DODG,VN,GREEN,p3136
v1822,02 - Automobile,2005,GMC,YUKON,PINK,p3148
v1823,02 - Automobile,2005,GMC,YUKON,PINK,p3149
v1824,02 - Automobile,2005,GMC,YUKON,PINK,p3157
v1825,02 - Automobile,1994,NISS,4S,BEIGE,p3159
v1826,02 - Automobile,1994,NISS,4S,BEIGE,p3181
v1827,02 - Automobile,2001,MITS,MONTERO,BEIGE,p3190
v1828,02 - Automobile,2007,HYUNDAI,TIBURON,RED,p3234
v1829,02 - Automobile,2003,MERCEDES,CLK500,SILVER,p3248
v1830,02 - Automobile,2006,DODGE,STRATUS,GRAY,p3268
v1831,02 - Automobile,2010,CHEVROLET,IMPALA,WHITE,p3274
v1832,02 - Automobile,2010,CHEVROLET,IMPALA,WHITE,p3306
v1833,02 - Automobile,2008,DODGE,NITRO,SILVER,p1117
v1834,02 - Automobile,1994,TOYT,4S,TAN,p1119
v1835,02 - Automobile,1999,FORD,TK,BLACK,p1122
v1836,02 - Automobile,1999,FORD,TK,BLACK,p1123
v1837,02 - Automobile,1999,FORD,TK,BLACK,p1129
v1838,02 - Automobile,1999,INFINITI,Q30,WHITE,p1133
v1839,02 - Automobile,1998,INFINITY,Q45T,BLACK,p1134
v1840,02 - Automobile,2012,TOYOTA,CAMRY,BLUE,p1143
v1841,02 - Automobile,2013,TOYOTA,CAMRY,SILVER,p1145
v1842,02 - Automobile,2008,CADILLAC,ESCALADE,BLACK,p1148
v1843,02 - Automobile,2008,VOLK,4S,"BLUE, DARK",p1150
v1844,02 - Automobile,2003,CHEVROLET,SILVERADO,GREEN,p1152
v1845,02 - Automobile,2008,CADI,CTS,BLACK,p1155
v1846,02 - Automobile,2008,CADI,CTS,BLACK,p1156
v1847,02 - Automobile,2003,FORD,VAN,WHITE,p1162
v1848,02 - Automobile,2005,ACURA,TL,SILVER,p1163
v1849,02 - Automobile,2004,ACUR,4S,SILVER,p1165
v1850,02 - Automobile,1996,CHEVY,S10,GREEN,p1168
v1851,02 - Automobile,2012,FORD,VAN,"GREEN, LGT",p1171
v1852,02 - Automobile,2012,FORD,VAN,"GREEN, LGT",p1172
v1853,02 - Automobile,2011,TOYT,PRIUS,BLUE,p1176
v1854,02 - Automobile,2010,TOYOTA,4S,SILVER,p1178
v1855,02 - Automobile,2010,TOYOTA,4S,SILVER,p1180
v1856,02 - Automobile,2010,TOYOTA,4S,SILVER,p1182
v1857,02 - Automobile,2010,TOYOTA,4S,SILVER,p1183
v1858,02 - Automobile,2010,TOYOTA,4S,SILVER,p1184
v1859,02 - Automobile,2015,TOYOTA,COROLLA,RED,p1185
v1860,02 - Automobile,2008,CADI,4S,BLACK,p1189
v1861,02 - Automobile,2008,CADI,4S,BLACK,p1191
v1862,02 - Automobile,2008,CHEV,IMPALA,GRAY,p1196
v1863,02 - Automobile,2012,TOYOTA,CAMRY,BLACK,p1197
v1864,02 - Automobile,2003,MERZ BENZ,S600 4S,BLACK,p1198
v1865,02 - Automobile,2006,GMC,ENVOY,SILVER,p1201
v1866,02 - Automobile,2002,SATU,2S,"BLUE, DARK",p1204
v1867,02 - Automobile,2008,MERZ,4S,BLACK,p1206
v1868,02 - Automobile,2007,HYUN,TUSC SUV,SILVER,p1211
v1869,02 - Automobile,2007,HYUN,TUSC SUV,SILVER,p1212
v1870,02 - Automobile,2001,SUBARU,SW,GREEN,p1213
v1871,02 - Automobile,2014,FORD,FUSION,BLACK,p1214
v1872,05 - Light Duty Truck,2004,GMC,BOX TK,WHITE,p1216
v1873,05 - Light Duty Truck,2004,GMC,BOX TK,WHITE,p1217
v1874,05 - Light Duty Truck,2004,GMC,BOX TK,WHITE,p1222
v1875,05 - Light Duty Truck,2004,GMC,BOX TK,WHITE,p1223
v1876,02 - Automobile,2012,CHEV,CAMARO,BLACK,p1225
v1877,02 - Automobile,2010,DODGE,CHALLENGER,ORANGE,p1226
v1878,02 - Automobile,2006,DODG,TK,SILVER,p1230
v1879,02 - Automobile,1997,BMW,328I,BLACK,p1233
v1880,02 - Automobile,2003,CHEVROLET,SILVERADO,GREEN,p1235
v1881,02 - Automobile,2008,MERCEDES,CLK350,BLACK,p1236
v1882,02 - Automobile,2008,HONDA,FIT,SILVER,p1237
v1883,02 - Automobile,2013,NISSAN,ALTIMA,GRAY,p1238
v1884,02 - Automobile,2000,OLDS,INTRUGUE,BLACK,p1239
v1885,02 - Automobile,2008,HONDA,FIT,GRAY,p1240
v1886,02 - Automobile,1989,HONDA,2D,TAN,p1242
v1887,02 - Automobile,1989,HONDA,2D,TAN,p1243
v1888,02 - Automobile,1989,HONDA,2D,TAN,p1250
v1889,02 - Automobile,1989,HONDA,2D,TAN,p1251
v1890,02 - Automobile,1989,HONDA,2D,TAN,p1261
v1891,02 - Automobile,1989,HONDA,2D,TAN,p1263
v1892,02 - Automobile,1989,HONDA,2D,TAN,p1269
v1893,02 - Automobile,1989,HONDA,2D,TAN,p1270
v1894,02 - Automobile,1989,HONDA,2D,TAN,p1276
v1895,02 - Automobile,1989,HONDA,2D,TAN,p1282
v1896,02 - Automobile,1989,HONDA,2D,TAN,p1286
v1897,02 - Automobile,2006,HONDA,4S,BLACK,p1295
v1898,02 - Automobile,2006,HONDA,4S,BLACK,p1296
v1899,28 - Other,1998,TOYOTA,SIENNA VAN,N/A,p1302
v1900,28 - Other,1998,TOYOTA,SIENNA VAN,N/A,p1307
v1901,02 - Automobile,2001,ISU,TK,TAN,p1315
v1902,05 - Light Duty Truck,2004,GMC,W4500,WHITE,p1317
v1903,02 - Automobile,2012,TOYOTA,VAN,GREEN,p1325
v1904,02 - Automobile,2014,HYUN,ACCENT,BLACK,p1326
v1905,02 - Automobile,2013,CHRYSLER,4S,"BLUE, LIGHT",p1328
v1906,02 - Automobile,2016,HONDA,CIVIC,BLACK,p1333
v1907,02 - Automobile,2016,HONDA,CIVIC,BLACK,p1335
v1908,28 - Other,2000,CHEVY,TK,BLUE,p1341
v1909,02 - Automobile,2005,BMW,4DR,N/A,p1342
v1910,02 - Automobile,2006,VOLVO,S60,"GREEN, LGT",p1345
v1911,02 - Automobile,2006,VOLVO,S60,"GREEN, LGT",p1347
v1912,02 - Automobile,2012,DODGE,CHARGER,BLACK,p1348
v1913,02 - Automobile,2012,DODGE,CHARGER,BLACK,p1350
v1914,01 - Motorcycle,2004,HONDA,CIVIC,SILVER,p1351
v1915,02 - Automobile,2004,HUMMER,4D,WHITE,p1352
v1916,02 - Automobile,2004,HUMMER,4D,WHITE,p1353
v1917,02 - Automobile,2006,NISSAN,ARMADA,GRAY,p1360
v1918,02 - Automobile,2006,NISSAN,ARMADA,GRAY,p1362
v1919,02 - Automobile,2006,NISSAN,ARMADA,GRAY,p1363
v1920,02 - Automobile,1998,TOYOTA,CAMRY,BEIGE,p1364
v1921,02 - Automobile,1998,TOYOTA,CAMRY,BEIGE,p1365
v1922,02 - Automobile,2006,TOYOTA,AVALON,RED,p1366
v1923,05 - Light Duty Truck,2008,CHEV,SILVERADO,WHITE,p1369
v1924,02 - Automobile,2012,TOYOTA,COROLLA,GRAY,p1375
v1925,02 - Automobile,2003,DODG,TK,RED,p1376
v1926,02 - Automobile,2004,FORD,FOCUS,RED,p1380
v1927,02 - Automobile,2004,FORD,FOCUS,RED,p1382
v1928,02 - Automobile,2004,FORD,FOCUS,RED,p1384
v1929,05 - Light Duty Truck,2009,FORD,F150,BLACK,p1387
v1930,02 - Automobile,2016,LEXUS,RX350,SILVER,p1389
v1931,02 - Automobile,2016,LEXUS,RX350,SILVER,p1390
v1932,02 - Automobile,2012,NISSAN,ROGUE,BLACK,p1391
v1933,02 - Automobile,2015,VOLKS,JETTA,BLACK,p1392
v1934,02 - Automobile,2012,TOYOTA,CORROLA,BLACK,p1393
v1935,02 - Automobile,2012,TOYOTA,CORROLA,BLACK,p1398
v1936,02 - Automobile,2012,TOYOTA,CORROLA,BLACK,p1400
v1937,02 - Automobile,2012,TOYOTA,CORROLA,BLACK,p1403
v1938,02 - Automobile,2012,TOYOTA,CORROLA,BLACK,p1406
v1939,01 - Motorcycle,2005,HARLEY DAVIDSON,ROADKING,RED,p1407
v1940,02 - Automobile,2012,TOYOTA,CORROLA,BLACK,p1408
v1941,02 - Automobile,2012,TOYOTA,CORROLA,BLACK,p1410
v1942,05 - Light Duty Truck,2006,DODG,DS,BLUE,p1412
v1943,29 - Unknown,,NONE,NONE,N/A,p1417
v1944,02 - Automobile,2000,HOND,4S,WHITE,p1419
v1945,05 - Light Duty Truck,2004,TOYOTA,SEQUOIA,SILVER,p1421
v1946,02 - Automobile,2002,GMC,SIERRA,BLUE,p1423
v1947,05 - Light Duty Truck,2004,TOYOTA,SEQUOIA,SILVER,p1424
v1948,02 - Automobile,2002,GMC,SIERRA,BLUE,p1425
v1949,02 - Automobile,2002,GMC,SIERRA,BLUE,p1431
v1950,02 - Automobile,2002,GMC,SIERRA,BLUE,p1434
v1951,02 - Automobile,2001,CADILAC,4S,RED,p1435
v1952,02 - Automobile,2001,CADILAC,4S,RED,p1436
v1953,02 - Automobile,2001,CADILAC,4S,RED,p1437
v1954,02 - Automobile,2005,HONDA,ODYSSEY,SILVER,p1440
v1955,02 - Automobile,2010,KIA,4S,BLACK,p1442
v1956,02 - Automobile,2013,TOYOTA,CAMRY,GREEN,p1447
v1957,02 - Automobile,2013,TOYOTA,CAMRY,GREEN,p1449
v1958,02 - Automobile,2003,HONDA,ACCORD,"BLUE, DARK",p1450
v1959,02 - Automobile,2009,HOND,4S,GOLD,p1451
v1960,02 - Automobile,2011,RANGE ROVER,LR4,BLACK,p1454
v1961,02 - Automobile,2012,HYUNDAI,SONATA,SILVER,p1458
v1962,02 - Automobile,2003,DODGE,DURANGO,GRAY,p1463
v1963,02 - Automobile,2012,HYUNDAI,SONATA,SILVER,p1466
v1964,02 - Automobile,2012,HYUNDAI,SONATA,SILVER,p1467
v1965,05 - Light Duty Truck,2010,TOYOTA,TACOMA,WHITE,p1468
v1966,02 - Automobile,2005,HOND,TK,SILVER,p1471
v1967,02 - Automobile,2010,FORD,F150,BLUE,p1473
v1968,02 - Automobile,1999,ACUR,4S,GREEN,p1474
v1969,02 - Automobile,1999,ACUR,4S,GREEN,p1475
v1970,02 - Automobile,1999,ACUR,4S,GREEN,p1478
v1971,02 - Automobile,1999,ACUR,4S,GREEN,p1481
v1972,02 - Automobile,2007,PONTIAC,G6,RED,p1482
v1973,06 - Heavy Duty Truck,2006,FORD,F450,BLACK,p1487
v1974,02 - Automobile,2005,HONDA,4D,BROWN,p1489
v1975,02 - Automobile,2014,LEXSUS,RX350,BLUE,p1490
v1976,02 - Automobile,2014,LEXSUS,RX350,BLUE,p1491
v1977,02 - Automobile,2002,CHEV,CAVALIER,RED,p1492
v1978,02 - Automobile,2008,MERZ,C300,GRAY,p1493
v1979,02 - Automobile,2008,MERZ,C300,GRAY,p1494
v1980,02 - Automobile,2008,MERZ,C300,GRAY,p1496
v1981,02 - Automobile,1997,TOYT,TK,BLUE,p1497
v1982,28 - Other,1999,HONDA,CR-V,GREEN,p1505
v1983,28 - Other,1999,HONDA,CR-V,GREEN,p1506
v1984,28 - Other,1999,HONDA,CR-V,GREEN,p1514
v1985,28 - Other,1999,HONDA,CR-V,GREEN,p1518
v1986,28 - Other,1999,HONDA,CR-V,GREEN,p1519
v1987,28 - Other,1999,HONDA,CR-V,GREEN,p1520
v1988,28 - Other,1999,HONDA,CR-V,GREEN,p1522
v1989,28 - Other,1999,HONDA,CR-V,GREEN,p1523
v1990,28 - Other,1999,HONDA,CR-V,GREEN,p1526
v1991,28 - Other,1999,HONDA,CR-V,GREEN,p1528
v1992,02 - Automobile,2011,CHEVROLET,4D,WHITE,p1530
v1993,02 - Automobile,2011,CHEVROLET,4D,WHITE,p1533
v1994,02 - Automobile,2011,CHEVROLET,4D,WHITE,p1534
v1995,02 - Automobile,2011,CHEVROLET,4D,WHITE,p1537
v1996,02 - Automobile,2011,CHEVROLET,4D,WHITE,p1538
v1997,02 - Automobile,2011,CHEVROLET,4D,WHITE,p1540
v1998,02 - Automobile,2011,CHEVROLET,4D,WHITE,p1544
v1999,02 - Automobile,2010,TOYT,4S,MAROON,p1546
v2000,02 - Automobile,1967,BUIC,2S,BEIGE,p1550
v2001,02 - Automobile,2012,NISSAN,SENTRA,BLACK,p1551
v2002,02 - Automobile,2012,NISSAN,SENTRA,BLACK,p1556
v2003,02 - Automobile,2007,JAGU,4S,BLUE,p1565
v2004,02 - Automobile,2012,CHEVY,VAN,WHITE,p1566
v2005,02 - Automobile,2012,CHEVY,VAN,WHITE,p1570
v2006,02 - Automobile,2012,CHEVY,VAN,WHITE,p1571
v2007,02 - Automobile,2012,CHEVY,VAN,WHITE,p1575
v2008,02 - Automobile,2012,CHEVY,VAN,WHITE,p1577
v2009,02 - Automobile,2002,GMC,SIERRA,BLUE,p1578
v2010,02 - Automobile,2002,GMC,SIERRA,BLUE,p1579
v2011,02 - Automobile,2002,GMC,SIERRA,BLUE,p1582
v2012,02 - Automobile,2002,GMC,SIERRA,BLUE,p1585
v2013,02 - Automobile,2003,BMW,4S,GRAY,p1589
v2014,02 - Automobile,2007,MERZ,S600,BLACK,p1596
v2015,05 - Light Duty Truck,2007,CHEV,TK,MAROON,p1598
v2016,02 - Automobile,2013,NISS,2S,BLACK,p1602
v2017,05 - Light Duty Truck,2008,FORD,RANGER,BLUE,p1605
v2018,02 - Automobile,2003,TOYOTA,HIGHLANDER,BLACK,p1623
v2019,02 - Automobile,2003,TOYOTA,HIGHLANDER,BLACK,p1624
v2020,02 - Automobile,2003,TOYOTA,HIGHLANDER,BLACK,p1625
v2021,03 - Station Wagon,1995,FORD,EXPLORER,RED,p1628
v2022,01 - Motorcycle,1999,TOYOTA,4D,TAN,p1631
v2023,02 - Automobile,2002,PONT,2S,MAROON,p1637
v2024,02 - Automobile,2014,CHEV,TK,RED,p1639
v2025,02 - Automobile,2009,CHEV,EXPRESS,WHITE,p1641
v2026,02 - Automobile,2004,VOLK,JETTA SW,"BLUE, DARK",p1642
v2027,02 - Automobile,2005,TOYT,CAMRY,GRAY,p1644
v2028,02 - Automobile,1996,HON,ACCORD,TAN,p1646
v2029,02 - Automobile,2006,FORD,ESCAPE,BLUE,p1647
v2030,02 - Automobile,2008,HONDA,4DR,GRAY,p1648
v2031,02 - Automobile,2003,LEXS,ES300,WHITE,p1653
