personid,dateofstop,timeofstop,agency,subagency,descrption,location,latitude,longitude,contributedaccident,belts,personalinjury,propertydamge,fatal,commerciallicense,hazmat,commericalvehicels,alcohol,workzone,accident
p3206,2/16/2013,13:18:00,MCP,"1st district, Rockville","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",MONTROSE PARKWAY AND HOYA DRIVE,39.05209932,-77.11809117,No,Yes,No,No,No,No,No,No,Yes,Yes,No
p3208,5/9/2014,23:40:00,MCP,"1st district, Rockville",EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,355 / COLLEGE PARKWAY,39.106385,-77.15812167,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes
p3217,8/27/2013,8:09:00,MCP,"1st district, Rockville",EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,ENT TO SHADY GROVE METRO FROM ICC/370,39.12469333,-77.16117333,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes
p3218,9/9/2014,17:58:00,MCP,"1st district, Rockville",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,DARNESTOWN RD/JERUSALEM RD,39.17538667,-77.40578667,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes
p3227,6/11/2013,10:27:00,MCP,"1st district, Rockville",Stop Lights,E GUDE DR/SOUTHLAWN LN,39.09847,-77.13784,No,No,No,Yes,No,No,Yes,No,No,No,No
p3230,11/5/2013,23:36:00,MCP,"1st district, Rockville",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,FREDERICK RD AT W GUDE DR,,,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes
p3243,5/3/2015,13:51:00,MCP,"1st district, Rockville",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,DARNESTOWN RD / MUDDY BRANCH RD,39.102145,-77.21964333,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes
p3251,11/27/2016,19:54:00,MCP,"1st district, Rockville",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,WOOTON AVE/HEMPSTONE AVE,39.14144333,-77.39816667,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes
p3252,9/10/2013,13:05:00,MCP,"1st district, Rockville",EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE,DARNESTOWN RD / ALDERWOOD DR,39.11202167,-77.24042667,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
p3260,5/4/2012,21:24:00,MCP,"1st district, Rockville",DRIVER CHANGING LANES WHEN UNSAFE,NEW HAMPSHIRE AVENUE @ NOTELY RD,39.07360807,-77.00762938,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes
p3263,10/16/2012,8:48:00,MCP,"1st district, Rockville",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,DARNESTOWN RD/DAV RD,39.0908313,-77.18501798,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes
p3278,4/14/2015,17:20:00,MCP,"1st district, Rockville",FAILURE TO STOP AT STOP SIGN,DICKERSON RD @ MT EPHRAIM RD,39.22126833,-77.42444667,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes
p3297,1/19/2015,17:25:00,MCP,"1st district, Rockville",DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 57 IN 40,DARNESTOWN RD / BEALLSVILLE RD,39.17652333,-77.408135,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes
p1115,3/17/2015,21:40:00,MCP,"2nd district, Bethesda",OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,OLD GEORGETOWN RD/ AUBURN,38.98924333,-77.10159333,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes
p1127,1/28/2015,7:50:00,MCP,"2nd district, Bethesda",FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,EAST WEST AT PEARL,38.98518667,-77.09079333,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No
p1132,4/28/2015,6:44:00,MCP,"2nd district, Bethesda",DRIVING VEHICLE IN HOV LANE WHEN NOT AUTHORIZED BY TRAFFIC CONTROL DEVICE,270 @ OLD GEORGETOWN RD,39.03137,-77.13049667,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
p1135,2/28/2016,16:52:00,MCP,"2nd district, Bethesda",EXCEEDING MAXIMUM SPEED: 52 MPH IN A POSTED 30 MPH ZONE,EAST BOUND EAST WEST HWY/ EDGEVALE,,,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No
p1136,1/18/2013,11:18:00,MCP,"2nd district, Bethesda",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,ROCK SPRING DRIVE AND OLD GEORGETOWN RD,39.0288235,-77.1263712,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No
p1137,8/26/2014,10:56:00,MCP,"2nd district, Bethesda",EXCEEDING MAXIMUM SPEED: 64 MPH IN A POSTED 55 MPH ZONE,ROCKLEDGE ON S/B I270,39.03082,-77.127675,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes
p1164,4/15/2013,17:57:00,MCP,"2nd district, Bethesda",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,WISCONSIN AT CORDELL,38.99075833,-77.09592167,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes
p1169,5/27/2014,10:14:00,MCP,"2nd district, Bethesda",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,355 AT NICHOLSON,39.04864333,-77.11359,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No
p1170,10/15/2016,1:02:00,MCP,"2nd district, Bethesda",DRIVING WRONG WAY--ONE WAY STREET,WOODMONT AVE @ OLD GEORGETOWN RD,38.98774833,-77.09927,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No
p1174,5/11/2016,21:56:00,MCP,"2nd district, Bethesda",DRIVER CHANGING LANES WHEN UNSAFE,OL I495 / COLESVILLE RD,39.01649,-77.00886833,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes
p1194,5/17/2013,8:44:00,MCP,"2nd district, Bethesda",DRIVING MOTOR VEH. WHILE LIC. SUSPENDED UNDER 26-204,410/355,38.98466833,-77.093665,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No
p1218,11/17/2015,22:52:00,MCP,"2nd district, Bethesda",DRIVING MOTOR VEHICLE WHILE REGISTRATION SUSPENDEDUNDER 26-305B1,DEMOCRACY BLVD/ FERNWOOD,38.95027667,-76.94196833,No,No,No,No,No,No,No,Yes,No,Yes,No
p1219,5/30/2014,16:45:00,MCP,"2nd district, Bethesda",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,GROSVENOR LA AT CHESHIRE DR,,,Yes,Yes,No,No,No,No,No,No,No,No,No
p1229,2/10/2012,9:59:00,MCP,"2nd district, Bethesda",EXCEEDING MAXIMUM SPEED: 54 MPH IN A POSTED 35 MPH ZONE,"CONNECTICUT AVE / EVERETT ST, N/B",39.0197782,-77.07710453,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No
p1252,11/21/2016,1:02:00,MCP,"2nd district, Bethesda",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,WISCONSIN AVE AT MONTGOMERY AVE,38.98682167,-77.09476,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes
p1260,3/29/2016,7:06:00,MCP,"2nd district, Bethesda",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,POOKESHILL AND LINDEN,39.013285,-77.10724667,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
p1262,12/30/2014,16:07:00,MCP,"2nd district, Bethesda",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,OLD GEORGETOWN  RD AT LONE OAK DR,39.28420833,-77.28332667,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes
p1268,12/3/2012,1:01:00,MCP,"2nd district, Bethesda",DRIVING WHILE IMPAIRED BY ALCOHOL,ST ELMO AVENUE @ OLD GEORGETOWN ROAD,,,No,Yes,Yes,No,No,No,No,No,No,Yes,No
p1275,11/17/2015,22:52:00,MCP,"2nd district, Bethesda","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17-106, 26-204, 26-206, 27-103",DEMOCRACY BLVD/ FERNWOOD,38.95027667,-76.94196833,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No
p1281,11/17/2015,22:52:00,MCP,"2nd district, Bethesda",FAILURE TO IMMEDIATELY RETURN AND REMAIN AT SCENE OF ACCIDENT INVOLVING BODILY INJURY,DEMOCRACY BLVD/ FERNWOOD,38.95027667,-76.94196833,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No
p1291,3/18/2012,16:25:00,MCP,"2nd district, Bethesda",EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH,RIVER RD @ PYLE RD,38.97675975,-77.12824977,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No
p1294,3/8/2014,11:53:00,MCP,"2nd district, Bethesda",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,OLD GEORGETOWN RD X ROCK SPRING DR,39.02852167,-77.12659,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes
p1306,5/24/2012,14:50:00,MCP,"2nd district, Bethesda",OPERATOR NOT RESTRAINED BY SEATBELT,LELAND ST/OAKRIDGE AVE,38.98292185,-77.08625348,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No
p1312,4/10/2012,17:05:00,MCP,"2nd district, Bethesda",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,CONNECTICUT AVE / EAST WEST HWY,,,No,No,No,No,No,No,No,Yes,Yes,No,No
p1319,10/23/2012,10:11:00,MCP,"2nd district, Bethesda",EXCEEDING MAXIMUM SPEED: 44 MPH IN A POSTED 35 MPH ZONE,LOCK 6 ON CLARA BARTON PKWY,38.94269428,-77.1226719,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes
p1320,1/11/2014,3:19:00,MCP,"2nd district, Bethesda",DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,NB CONNECTICUT AVE/ I-495,38.98348833,-77.09304833,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No
p1322,1/6/2012,19:51:00,MCP,"2nd district, Bethesda",FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,355/OLD GEORGETOWN ROAD,,,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
p1324,12/17/2016,19:01:00,MCP,"2nd district, Bethesda",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,RANDOLPH RD X CHARLES RD,39.05473,-77.08624833,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No
p1340,3/15/2012,9:50:00,MCP,"2nd district, Bethesda",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,CONN AVE ON E/B I495,39.01867255,-76.97485337,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes
p1354,12/1/2015,23:57:00,MCP,"2nd district, Bethesda",KNOWINGLY DRIVING / OWNER KNOWINGLY PERMITTING TO BE DRIVEN UNINSURED VEHICLE,JONES BRIDGE/ BRANDT PL,38.99698167,-77.09461,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
p1356,5/17/2013,8:44:00,MCP,"2nd district, Bethesda",DRIVING MOTOR VEH. WHILE LIC. SUSPENDED UNDER 27-103,410/355,38.98466833,-77.093665,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No
p1379,1/4/2017,1:40:00,MCP,"2nd district, Bethesda",DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,WISCONSIN AVE/WAVERLY ST,38.98456333,-77.09412833,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
p1388,11/17/2015,22:52:00,MCP,"2nd district, Bethesda",DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,DEMOCRACY BLVD/ FERNWOOD,38.95027667,-76.94196833,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes
p1405,12/23/2012,0:57:00,MCP,"2nd district, Bethesda",EXCEEDING MAXIMUM SPEED: 38 MPH IN A POSTED 30 MPH ZONE,9200 PINEY BRANCH RD,39.00127607,-76.98446768,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No
p1411,10/12/2014,0:17:00,MCP,"2nd district, Bethesda",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,S.B WISCONSIN AVE @ BRADLEY,38.97831333,-77.09151167,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No
p1415,8/5/2015,23:06:00,MCP,"2nd district, Bethesda","FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND",CONNECTICT AVE / DUNLOP ST,38.99172667,-77.07727667,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No
p1416,12/3/2012,1:01:00,MCP,"2nd district, Bethesda",DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,ST ELMO AVENUE @ OLD GEORGETOWN ROAD,,,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes
p1426,4/22/2013,22:17:00,MCP,"2nd district, Bethesda",FAILURE TO CONTROL VEH. SPEED ON HWY. TO AVOID COLLISION,CONNECTICUT AVE / MANOR RD,38.99636033,-77.07736313,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No
p1428,3/18/2015,11:47:00,MCP,"2nd district, Bethesda",EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,MACARTHUR BLVD/ WALHONDING RD,38.95837833,-77.13098167,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes
p1439,7/3/2013,21:33:00,MCP,"2nd district, Bethesda",DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,OLD GEORGETOWN/RYLAND,39.01290165,-77.11706563,No,No,No,Yes,No,No,No,No,No,No,No
p1446,5/9/2014,3:41:00,MCP,"2nd district, Bethesda",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,I 495 O/L  /  CONNECTICUT AVE,39.01202167,-77.09284333,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No
p1448,2/26/2015,10:18:00,MCP,"2nd district, Bethesda",WINDOW TINT,355/CHELTENHAM DR,38.98814667,-77.09532167,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes
p1453,4/20/2012,1:21:00,MCP,"2nd district, Bethesda",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,4935 ST ELMO AVENUE,,,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No
p1456,4/3/2013,9:57:00,MCP,"2nd district, Bethesda",MOTOR VEH. EQUIPPED WITH UNLAWFULLY MODIFIED EXHAUST SYSTEM,MONTGOMERY MALL / DEMOCRACY BLVD,39.02163963,-77.13604678,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
p1462,11/24/2014,4:44:00,MCP,"2nd district, Bethesda",FAILURE TO DISPLAY TAB ON PLATES OF VEH. AS REQUIRED BY ADM.,RIVER RD / FALLS RD,39.01949333,-77.21089833,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No
p1480,4/9/2012,16:48:00,MCP,"2nd district, Bethesda","NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON","185 @ SAUL RD KENSINGTON, MD",,,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes
p1503,3/15/2012,9:50:00,MCP,"2nd district, Bethesda",DRIVING MOTOR VEH. WHILE LIC. SUSPENDED UNDER  26-204,CONN AVE ON E/B I495,39.01867255,-76.97485337,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes
p1504,10/25/2013,16:47:00,MCP,"2nd district, Bethesda",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,RIVER RD @ DORSET AVE,38.96940833,-77.10964667,No,No,No,No,No,No,No,No,No,No,No
p1510,1/30/2012,15:47:00,MCP,"2nd district, Bethesda",DRIVING VEH. ON HWY. WITH UNPAID REGISTRATION FEE,27/BRINK RD,39.2158046,-77.23879145,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes
p1511,11/19/2013,20:55:00,MCP,"2nd district, Bethesda",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,SB 270 @ SPLIT,,,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes
p1513,1/8/2015,17:30:00,MCP,"2nd district, Bethesda",DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALK,WISCONSIN AVE/MONTGOMERY LA,,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
p1515,2/5/2013,2:27:00,MCP,"2nd district, Bethesda",EXCEEDING THE POSTED SPEED LIMIT OF 25 MPH,WISCONSIN AVE BTWN CHASE AVE/CHESTNUT ST,39.00042917,-77.09689097,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes
p1536,6/3/2016,7:39:00,MCP,"2nd district, Bethesda",EXCEEDING MAXIMUM SPEED: 34 MPH IN A POSTED 25 MPH ZONE,OLD GEORGETOWN RD @ CORDELL AVE,38.98744167,-77.09953333,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No
p1542,1/19/2013,23:47:00,MCP,"2nd district, Bethesda",KNOWINGLY DRIVING UNINSURED VEHICLE,WISCONSIN AVE @ WEST VIRGINIA AVE,38.99524612,-77.0962718,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes
p1557,4/23/2014,8:53:00,MCP,"2nd district, Bethesda",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,EDSON LN & WOODGLEN DR,39.04154,-77.11342,Yes,Yes,No,No,No,No,No,No,No,Yes,No
p1561,4/9/2012,16:48:00,MCP,"2nd district, Bethesda",OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,"185 @ SAUL RD KENSINGTON, MD",,,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No
p1562,6/7/2016,13:58:00,MCP,"2nd district, Bethesda",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,270 AND ICC,39.13294333,-77.20755,Yes,No,No,No,No,No,Yes,No,Yes,No,No
p1572,4/1/2013,9:55:00,MCP,"2nd district, Bethesda",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,270/370,39.12257833,-77.19888667,Yes,No,No,No,Yes,No,No,No,No,Yes,No
p1573,3/7/2016,10:21:00,MCP,"2nd district, Bethesda",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,S/B 270 @ 495 SPUR,39.02072833,-77.10579667,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes
p1583,12/17/2016,19:01:00,MCP,"2nd district, Bethesda",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,RANDOLPH RD X CHARLES RD,39.05473,-77.08624833,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
p1587,7/31/2014,8:26:00,MCP,"2nd district, Bethesda",DRIVING WRONG WAY--ONE WAY STREET,WALSH ST/WEST AVE,39.236205,-77.29146,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No
p1594,4/9/2012,16:48:00,MCP,"2nd district, Bethesda",DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,"185 @ SAUL RD KENSINGTON, MD",,,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes
p1600,3/17/2015,21:40:00,MCP,"2nd district, Bethesda",UNSAFE LANE CHANGING,OLD GEORGETOWN RD/ AUBURN,38.98924333,-77.10159333,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes
p1606,4/15/2015,14:17:00,MCP,"2nd district, Bethesda",EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH,NB 270 S OF 109,39.27943833,-77.32422167,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
p1609,7/6/2014,17:29:00,MCP,"2nd district, Bethesda",FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM  COVERS,WOOODMONT X ST. ELMO,38.98869667,-77.09639667,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No
p1610,5/17/2013,8:44:00,MCP,"2nd district, Bethesda",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,410/355,38.98466833,-77.093665,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No
p1612,9/5/2016,20:13:00,MCP,"2nd district, Bethesda",FAILURE TO DISPLAY & REFLECT RED COLOR LIGHT ON REAR LAMPS AND REFLECTORS AS REQ.,270 / FALLS RD,39.08474667,-77.173005,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No
p1616,7/19/2014,16:22:00,MCP,"2nd district, Bethesda",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,OLD GEORGETOWN RD X LONE OAK DR,39.02029667,-77.12386833,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes
p1618,10/8/2015,10:36:00,MCP,"2nd district, Bethesda",EXCEEDING MAXIMUM SPEED: 57 MPH IN A POSTED 35 MPH ZONE,ROCKVILLE PIKE AND POOKS HILL RD,39.01581,-77.09979667,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
p1627,12/19/2015,16:32:00,MCP,"2nd district, Bethesda",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,FERNWOOD RD AT DEMOCRACY BLV,39.02104167,-77.13446333,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes
p1630,5/17/2012,0:41:00,MCP,"2nd district, Bethesda",DRIVING WHILE IMPAIRED BY ALCOHOL,NB 270/ DEMOCRACY BLVD,,,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No
p1633,4/20/2012,1:21:00,MCP,"2nd district, Bethesda","FAILURE TO STOP AFTER ACCIDENT INVOLVING DAMAGE TO ATTENDED VEH., PROPERTY",4935 ST ELMO AVENUE,,,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No
p1645,11/17/2015,22:52:00,MCP,"2nd district, Bethesda",FAILURE OF DRIVER INVOLVED IN ACCIDENT TO RENDER REASONABLE ASSISTANCE TO INJURED PERSON,DEMOCRACY BLVD/ FERNWOOD,38.95027667,-76.94196833,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No
p1661,7/12/2016,20:45:00,MCP,"2nd district, Bethesda","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17-106, 26-204, 26-206, 27-103",BRADLEY BLV / WISCONSIN AVE,38.97782,-77.091325,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No
p1663,11/17/2015,22:52:00,MCP,"2nd district, Bethesda",UNAUTHORIZED DISPLAY AND USE OF REGISTRATION PLATE,DEMOCRACY BLVD/ FERNWOOD,38.95027667,-76.94196833,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes
p1665,7/4/2012,10:44:00,MCP,"2nd district, Bethesda",EXCEEDING MAXIMUM SPEED: 78 MPH IN A POSTED 55 MPH ZONE,MONTROSE RD ON N/B I270,39.05638425,-77.15429255,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes
p1675,12/17/2014,10:01:00,MCP,"2nd district, Bethesda",DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,270 @ MONTROSE RD,39.04764667,-77.15036667,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No
p1679,4/2/2013,23:16:00,MCP,"2nd district, Bethesda",Headlights,NB I-270/OLD GEORGETOWN RD,39.02787333,-77.11219,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes
p1686,6/25/2013,7:28:00,MCP,"2nd district, Bethesda",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,EDSON LANE @ WOODGLEN DRIVE,39.04163755,-77.1131634,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes
p1689,1/19/2015,20:56:00,MCP,"2nd district, Bethesda",DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALK,FRIENDSHIP @ WILLARD AVE,38.96266,-77.088615,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes
p1690,7/6/2014,17:29:00,MCP,"2nd district, Bethesda",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,WOOODMONT X ST. ELMO,38.98869667,-77.09639667,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes
p1697,11/17/2015,22:52:00,MCP,"2nd district, Bethesda",FAILURE OF VEH. DRIVER INVOLVED IN ACCIDENT TO GIVE INSURANCE POLICY INFORMATION,DEMOCRACY BLVD/ FERNWOOD,38.95027667,-76.94196833,Yes,No,No,Yes,No,No,No,No,No,No,Yes
p1706,6/7/2016,13:58:00,MCP,"2nd district, Bethesda",DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 68,270 AND ICC,39.13294333,-77.20755,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No
p1712,4/20/2012,1:21:00,MCP,"2nd district, Bethesda",DRIVING WHILE IMPAIRED BY ALCOHOL,4935 ST ELMO AVENUE,,,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No
p1722,3/5/2013,11:10:00,MCP,"2nd district, Bethesda",OPERATOR NOT RESTRAINED BY SEATBELT,CLARABARTON PKWY/LOCK 6,38.94250833,-77.12286667,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
p1723,7/12/2016,20:45:00,MCP,"2nd district, Bethesda",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,BRADLEY BLV / WISCONSIN AVE,38.97782,-77.091325,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No
p1724,7/12/2016,20:45:00,MCP,"2nd district, Bethesda",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,BRADLEY BLV / WISCONSIN AVE,38.97782,-77.091325,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No
